ngram,n,count,document_count,median_density_pct,nonzero_median_density_pct,recommended_density_pct,recommended_occurrences_per_1000_words,recommended_min_occurrences_per_1000_words,recommended_max_occurrences_per_1000_words,competitor_density_pct,density_basis,recommended_use,ngram_id
send,1,16,3,0.124,0.124,0.124,1.2,0.9,1.5,cmp_001:12/230=5.2174% | cmp_002:3/2419=0.124% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_120
name,1,5,3,0.124,0.124,0.124,1.2,0.9,1.5,cmp_001:1/230=0.4348% | cmp_002:3/2419=0.124% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_121
best,1,3,3,0.0829,0.0829,0.0829,0.8,0.6,1.0,cmp_001:1/230=0.4348% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_122
ups,1,33,2,0.8268,0.9519,0.8268,8.3,6.2,10.4,cmp_001:0/230=0.0% | cmp_002:20/2419=0.8268% | cmp_003:13/1207=1.0771%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_123
tattoos,1,23,2,0.5788,0.6623,0.5788,5.8,4.3,7.2,cmp_001:0/230=0.0% | cmp_002:14/2419=0.5788% | cmp_003:9/1207=0.7457%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_124
not,1,19,2,0.4961,0.538,0.4961,5.0,3.8,6.2,cmp_001:0/230=0.0% | cmp_002:12/2419=0.4961% | cmp_003:7/1207=0.58%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_125
new,1,19,2,0.4134,0.5796,0.4134,4.1,3.1,5.1,cmp_001:0/230=0.0% | cmp_002:10/2419=0.4134% | cmp_003:9/1207=0.7457%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_126
here,1,99,2,0.2486,2.1086,0.2486,2.5,1.9,3.1,cmp_001:0/230=0.0% | cmp_002:96/2419=3.9686% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_127
title,1,94,2,0.2486,2.0052,0.2486,2.5,1.9,3.1,cmp_001:0/230=0.0% | cmp_002:91/2419=3.7619% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_128
work,1,13,2,0.2486,0.331,0.2486,2.5,1.9,3.1,cmp_001:0/230=0.0% | cmp_002:10/2419=0.4134% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_129
dark,1,13,2,0.2486,0.331,0.2486,2.5,1.9,3.1,cmp_001:0/230=0.0% | cmp_002:10/2419=0.4134% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_130
only,1,10,2,0.2486,0.269,0.2486,2.5,1.9,3.1,cmp_001:0/230=0.0% | cmp_002:7/2419=0.2894% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_131
next,1,7,2,0.2486,0.9939,0.2486,2.5,1.9,3.1,cmp_001:4/230=1.7391% | cmp_002:0/2419=0.0% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_132
our,1,12,2,0.2067,0.3933,0.2067,2.1,1.6,2.6,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:7/1207=0.58%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_133
create,1,9,2,0.2067,0.2691,0.2067,2.1,1.6,2.6,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:4/1207=0.3314%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_134
colours,1,9,2,0.2067,0.2691,0.2067,2.1,1.6,2.6,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:4/1207=0.3314%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_135
laser,1,8,2,0.2067,0.2276,0.2067,2.1,1.6,2.6,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_136
but,1,8,2,0.2067,0.2276,0.2067,2.1,1.6,2.6,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_137
over,1,11,2,0.1657,0.2689,0.1657,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:9/2419=0.3721% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_138
some,1,10,2,0.1657,0.2482,0.1657,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:8/2419=0.3307% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_139
colour,1,7,2,0.1657,0.1862,0.1657,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_140
one,1,7,2,0.1654,0.207,0.1654,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:4/2419=0.1654% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_141
result,1,6,2,0.1654,0.1655,0.1654,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:4/2419=0.1654% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_142
possible,1,6,2,0.1654,0.1655,0.1654,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:4/2419=0.1654% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_143
designs,1,6,2,0.1654,0.1655,0.1654,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:4/2419=0.1654% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_144
process,1,9,2,0.124,0.3105,0.124,1.2,0.9,1.5,cmp_001:0/230=0.0% | cmp_002:3/2419=0.124% | cmp_003:6/1207=0.4971%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_145
studios,1,8,2,0.124,0.2692,0.124,1.2,0.9,1.5,cmp_001:0/230=0.0% | cmp_002:3/2419=0.124% | cmp_003:5/1207=0.4143%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_146
will,1,7,2,0.124,0.2277,0.124,1.2,0.9,1.5,cmp_001:0/230=0.0% | cmp_002:3/2419=0.124% | cmp_003:4/1207=0.3314%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_147
few,1,7,2,0.124,0.9316,0.124,1.2,0.9,1.5,cmp_001:4/230=1.7391% | cmp_002:3/2419=0.124% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_148
without,1,5,2,0.124,0.1448,0.124,1.2,0.9,1.5,cmp_001:0/230=0.0% | cmp_002:3/2419=0.124% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_149
tattooing,1,5,2,0.124,0.1448,0.124,1.2,0.9,1.5,cmp_001:0/230=0.0% | cmp_002:3/2419=0.124% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_150
